"","Variable","<0.05","<0.01","<0.001","minimum.p","maximum.p","mean.p","median.p","minimim.adj.r2","maximum.adj.r2","mean.adj.r2","median.adj.r2","minimum.est","maximum.est","mean.est","median.est"
"1","Bio1",0.2106,0.052,0.0055,4.53543445311247e-05,0.999914609979398,0.217495268133644,0.152697340236697,"-0.01408450687751","0.199008082206689","0.021558222756971","0.0149087346879734","-0.156908243181748","0.0347503060582655","-0.0630028192240427","-0.0631097672795101"
"2","Bio2",0.0986,0.021,8e-04,0.000306975096294539,0.999939361640942,0.436486827590228,0.40482013504204,"-0.0140845069591748","0.1569879382328","0.00537049556609198","-0.00415171186499697","-0.311561305996233","0.18827173639796","-0.0622697053136507","-0.0598567295921299"
"3","Bio3",0.2205,0.0528,0.0022,0.000146722559791377,0.999956447467718,0.310998630043642,0.217569881934717,"-0.0140845069993967","0.17340060275741","0.0172591933238368","0.00754923572221156","-0.22650546593087","0.0827065660551986","-0.0724175981896909","-0.0710274195521374"
"4","Bio4",0.118,0.0252,0.0011,0.000325763144745709,0.99996983908576,0.405005237526199,0.349097834286887,"-0.0140845070217002","0.155657287803608","0.00798827598220188","-0.00155190864155009","-0.040695273258998","0.0930053189242114","0.0241494019340534","0.0236636412276558"
"5","Bio5",0.4149,0.1615,0.0227,3.39110074203655e-06,0.99602659619816,0.164838449584123,0.0750125465303003,"-0.0140841503259932","0.253284546908071","0.037501848360355","0.0304981078900712","-0.641000065735572","0.171052618358372","-0.24376155638251","-0.24571359577276"
"6","Bio6",0.1485,0.0596,0.0238,1.94400118748788e-07,0.999421762631167,0.301949698015492,0.24632637546854,"-0.0140844994877423","0.309365196995145","0.0159364521273164","0.00506430260307078","-0.131518493992532","0.0502080212513947","-0.0477635875579094","-0.0473854400266903"
"7","Bio7",0.0692,0.0105,1e-04,4.81936968837604e-05,0.999790930580538,0.46234691057607,0.442163539517944,"-0.0140845060546673","0.197699053459694","0.00261969804108855","-0.0056240766312563","-0.0997307564992307","0.197696004182734","0.0423151238736338","0.0408882755918675"
"8","Bio8",9e-04,0,0,0.0135846071797497,0.99999344634275,0.704280683794793,0.740076914102567,"-0.0140845070412832","0.0698497545442418","-0.010267819513992","-0.0125026741816438","-0.0761924315911813","0.112059173005369","0.00218852635069408","0.000975942221882433"
"9","Bio9",0.3256,0.1117,0.0301,2.44032123723228e-06,0.999195044694143,0.17241475856839,0.101866095135646,"-0.0140844924023684","0.259939597876802","0.03286726056033","0.0236855451302044","-0.123713709625467","0.0310988740043259","-0.0559638631084744","-0.0570252636935245"
"10","Bio10",0.4724,0.1962,0.0309,2.49919668754622e-06,0.998371406153083,0.140446067060487,0.058450562922845,"-0.0140844471155821","0.259459163777879","0.0429467246490773","0.0361336374641164","-0.495884262598181","0.101297783349115","-0.207328005964132","-0.210560371097626"
"11","Bio11",0.1808,0.0608,0.0195,6.7247274502826e-07,0.999899736999915,0.254459554220871,0.195525162441772,"-0.014084506815123","0.285505536284779","0.0195327036518232","0.00973094914718986","-0.128780433139351","0.039683387720139","-0.0520540422048855","-0.052086059496104"
"12","Bio12",0.2345,0.0933,0.0188,2.27815357740013e-07,0.999982251874864,0.334355747562016,0.243067820555704,"-0.0140845070351365","0.306356835161204","0.0197509343454537","0.0053280715101211","-0.176244857312179","0.0760741143690234","-0.042741624723028","-0.0414298737260092"
"13","Bio13",0.1862,0.065,0.0063,1.77923783251928e-05,0.999720722418057,0.381892672914836,0.324329489659786,"-0.0140845052800092","0.218962087105646","0.0133400950102302","-0.000207896860134671","-0.159816407737471","0.0797962319493657","-0.0366809183893105","-0.0345003732202918"
"14","Bio14",0.1803,0.0598,0.0096,6.6303134166163e-06,0.999942304430599,0.380721340288573,0.31394212458469,"-0.014084506967043","0.239560599858774","0.0135436051648603","0.000396432428304783","-0.0841473225819488","0.0487722623035725","-0.0160721955001113","-0.0159888467727021"
"15","Bio15",0.1701,0.0673,0.0159,1.91151317501314e-06,0.999974957793828,0.376171508828629,0.310589631553056,"-0.0140845070280846","0.264845736495757","0.0139049789345856","0.000597013655626977","-0.0620763196806876","0.146300661638808","0.0345380040049756","0.0338384916284269"
"16","Bio16",0.1448,0.0345,0.0027,2.39514300847168e-05,0.999782495752077,0.400670329134583,0.352393108526159,"-0.0140845059733721","0.21266795894964","0.00946517940803407","-0.00172115576876763","-0.165258994486128","0.0856777911459682","-0.0341953815644813","-0.032685767830231"
"17","Bio17",0.2105,0.0759,0.0124,5.72738950479528e-06,0.999928282036649,0.360659777990906,0.284082814721277,"-0.0140845069260418","0.242575531588669","0.0164161067444066","0.00228651333709134","-0.0884397068237043","0.0566226582606624","-0.0190509856479061","-0.0188651749370695"
"18","Bio18",0.0564,0.0043,2e-04,0.000401492792438857,0.99982539768467,0.39640404309245,0.336594625382041,"-0.014084506353452","0.150963865210476","0.00441244151402535","-0.00088978152014263","-0.0949713278936974","0.0617862950490846","-0.0028197552815596","-0.0027325121454043"
"19","Bio19",0.4634,0.2314,0.0618,4.17031623500346e-09,0.999361937436091,0.175717595017743,0.0611520806243243,"-0.0140844978436774","0.378628064062413","0.0451838517110443","0.0351084450728322","-0.118045177262083","0.0508811721700133","-0.0394211410057929","-0.041190960025718"
